"attached_post_url","author/id","author/name","author/url","comments_count","create_date","image","message","post_id","reactions_count","timestamp","type","url","video"
,"100059642974022","Breitbart","https://www.facebook.com/Breitbart","0","2023-02-05T15:00:00",,"Senator Marco Rubio (R-FL) said on Sunday that Joe Biden not addressing the nation about the Chinese balloon was “the beginning of dereliction of duty.”","10170501465260354","2084","1675609200","post","https://www.facebook.com/Breitbart/posts/pfbid026R8fjWUGKzKNF8BU7j7yF6fnvDfA7AXAYJWSeHnvXT3BJAVVwLJFBYt3DYxXJqbCl",
,"100064381760748","Stars and Stripes","https://www.facebook.com/stripesmedia","0","2024-01-22T06:00:22",,"Taiwan said that six Chinese balloons either flew over the island or through airspace just north of it, while Chinese warplanes and navy ships were also detected in the area.","775904867898898","10","1705903222","post","https://www.facebook.com/stripesmedia/posts/pfbid02if6j92DQpaMukVM365Kfnh5fT5BCu9gUbsT6nxRtxdG1X5NYxPcrUGNtuUSUzW1bl",
,"100059422245844","Reuters","https://www.facebook.com/Reuters","0","2024-01-03T04:00:52",,"Three Chinese balloons flew across Taiwan island on Tuesday and near an air base, the Taiwanese defence ministry said, the first time it has reported them crossing the island since reporting a spate of such balloons in the Taiwan Strait starting last month.","866047465385987","34","1704254452","post","https://www.facebook.com/Reuters/posts/pfbid023XAfYa3nf3R3uRftCKe95hDuS1cw6LuxNjw3KTCudoBLYGv81nZYV5kJKT4GbBkJl",
,"100064965390889","KABB FOX 29 News, San Antonio","https://www.facebook.com/foxsanantonio","0","2023-02-19T01:42:11",,"Chinese balloons, unidentified objects and now a possible meteorite! Officials in Texas's Rio Grande Valley are investigating whether a meteor smashed into the ground after fielding calls about falling stars, loud booms and shaking walls.https://bit.ly/3xyiygZ","10160896322716738","35","1676770931","post","https://www.facebook.com/foxsanantonio/posts/pfbid02758wWoUjZfAKcVJpdofwje3bBXwi59Rk3czJ73qXTzRi8ep7uopEqbhRMYXD7J4ml","https://www.facebook.com/foxsanantonio/videos/724856412499594/"
,"100064810897911","NBC Washington","https://www.facebook.com/nbcwashington","0","2024-01-22T13:40:33",,"Taiwan says that six Chinese balloons either flew over the island or through airspace just north of it, while Chinese warplanes and navy ships were also detected in the area.","780130687490621","6","1705930833","post","https://www.facebook.com/nbcwashington/posts/pfbid0232t8qKDG3kERmso8N5Fx7SnXPojbN53DiREWnWNNBAe3xWSikATzE4sZzH7zhShbl",
,"100069028928005","INQUIRER.net","https://www.facebook.com/inquirerdotnet","0","2024-01-02T16:28:30",,"Two Chinese balloons were detected moving across the median line separating Taiwan from China, with one flying directly above the island, Taiwan's Ministry of National Defense said.","771143475196610","13","1704212910","post","https://www.facebook.com/inquirerdotnet/posts/pfbid0asxHgFwgzirJYq5uzk2UswLa3icjc9fU4HiWHePNAjscfdHnSbQzZ59bWCf66mJTl",
,"100066454003642","Honolulu Star-Advertiser","https://www.facebook.com/staradvertiser","0","2024-01-22T16:30:09",,"The dispatch of such balloons, which generally disappear into the Pacific to the east, appears to be on the rise, though their purpose has not been publicly announced.","760189372872856","3","1705941009","post","https://www.facebook.com/staradvertiser/posts/pfbid02TXbZjpZPDA82pPzhNFJtRzUkhoaoxZzotHx7mVSnzHjboWJCW8PL7yS6CDLMYdcfl",
,"100069028928005","INQUIRER.net","https://www.facebook.com/inquirerdotnet","0","2024-01-02T16:28:30",,"Two Chinese balloons were detected moving across the median line separating Taiwan from China, with one flying directly above the island, Taiwan's Ministry of National Defense said.","771143475196610","13","1704212910","post","https://www.facebook.com/inquirerdotnet/posts/pfbid0asxHgFwgzirJYq5uzk2UswLa3icjc9fU4HiWHePNAjscfdHnSbQzZ59bWCf66mJTl",
,"100059597015374","Washington Examiner","https://www.facebook.com/WashingtonExaminer","0","2023-02-05T23:00:24",,"Former President Donald Trump denied claims that Chinese balloons entered U.S. airspace on at least three occasions under his watch, stressing it ""NEVER"" happened.","10160114601274160","39","1675638024","post","https://www.facebook.com/WashingtonExaminer/posts/pfbid02jfdrKekcReGYeYmt6dXhCaTmtmGiKsUvAmFa3HcAsRaFj3JWTRKzsWG1g6Me37Mcl",
,"100059399358945","Axios","https://www.facebook.com/axiosnews","0","2024-01-03T18:59:05",,"A flurry of balloons from China has crossed over Taiwan, passing over the self-governing island that Beijing claims as its own. This comes just days before Taiwan holds its presidential and parliamentary elections. 

","753901643266474","14","1704308345","post","https://www.facebook.com/axiosnews/posts/pfbid02kwQQwvKwRu7psbNfW5T29C3psJQHXdYMhZrFAid69q1bFWNgjv6Wf8DRqqs3BPrl",
,"100068315085098","The Straits Times","https://www.facebook.com/TheStraitsTimes","0","2024-01-03T07:30:05",,"China said the balloon was a civilian craft that accidentally drifted astray.","675638501389980","50","1704267005","post","https://www.facebook.com/TheStraitsTimes/posts/pfbid02GQAXN45LYeVtg3izQJDTDjdPhFtypLPdhPGMUJ9R4vtwQSC4oMZ1d9euWk7boLw9l",
,"100064672454529","7NEWS Melbourne","https://www.facebook.com/7NEWSMelbourne","0","2023-02-07T12:10:00",,"The U.S. military has admitted it was not aware of any threat when China flew earlier balloon missions over American territory. Military chiefs are now convinced those flights were for intelligence gathering, as they learn more about the balloon shot down over the Atlantic Coast.  

7NEWS at 6pm | More local news: www.7NEWS.com.au/news/vic

#7NEWS","10161139794274301","92","1675771800","post","https://www.facebook.com/7NEWSMelbourne/posts/pfbid0W8rSxW8JbTaqgSRub9kxLQJAwSEvVoqubWK4Q8yEqpEWFuxRUfuPdovtT8BYkAQwl","https://www.facebook.com/7NEWSMelbourne/videos/922449799181599/"
,"100059597015374","Washington Examiner","https://www.facebook.com/WashingtonExaminer","0","2023-02-05T23:00:24",,"Former President Donald Trump denied claims that Chinese balloons entered U.S. airspace on at least three occasions under his watch, stressing it ""NEVER"" happened.","10160114601274160","39","1675638024","post","https://www.facebook.com/WashingtonExaminer/posts/pfbid02jfdrKekcReGYeYmt6dXhCaTmtmGiKsUvAmFa3HcAsRaFj3JWTRKzsWG1g6Me37Mcl",
,"100069028928005","INQUIRER.net","https://www.facebook.com/inquirerdotnet","0","2024-02-11T06:06:37",,"Taiwan reports more Chinese balloons over Taiwan Strait","795668642744093","12","1707631597","post","https://www.facebook.com/inquirerdotnet/posts/pfbid021UQ4HY2SyMk6bvYcFTx8miYDE9Fu8vKtonPnpTfybrLb18X4gA1KUeUTvXgFx4fl",
,"100064569948990","NBC Bay Area","https://www.facebook.com/NBCBayArea","0","2024-01-22T12:29:03",,"Taiwan says six Chinese balloons either flew over the island or through airspace just north of it, while Chinese warplanes and navy ships were also detected in the area. ","767986888696969","5","1705926543","post","https://www.facebook.com/NBCBayArea/posts/pfbid02wKeVKQCesWbvNwtJXGL7fKZfVS31iyZaRjVMWpyynQ1K4Tr5VDbfwa47nEWpELTMl",
,"100063976965024","KUOW Public Radio","https://www.facebook.com/kuowpublicradio","0","2023-02-07T00:00:00",,"Chinese surveillance balloons have flown over the U.S. at least four times in recent years. But the incidents were relatively brief and did not cause a major stir.","10160535605763139","7","1675728000","post","https://www.facebook.com/kuowpublicradio/posts/pfbid02zv8T6HzR8XEVksgLQwYgiQwzPhfWpi6ib9iQe67BWKEk9U3Y1fLLa4ULMnbqLPGfl",
,"100064244067009","ARY News","https://www.facebook.com/arynewsasia","0","2024-01-02T12:35:00",,"Taiwan detects two Chinese balloons in new year

#ARYNews","769236291894499","19","1704198900","post","https://www.facebook.com/arynewsasia/posts/pfbid02fxpXnEq2AK2auqTZVA59G81tmQDn4w2SCm2hfR5Y6rpjLRDThQ2N77A7SeijJGVRl",
,"100064822867502","Philstar.com","https://www.facebook.com/philstarnews","0","2023-02-10T00:04:09",,"Detailed images taken by high-altitude U2s showed the balloon's payload equipment ""was clearly for intelligence surveillance and inconsistent with the equipment onboard weather balloons,"" the senior State Department official said.","10168202689905713","20","1675987449","post","https://www.facebook.com/philstarnews/posts/pfbid0QU2DLGcuGjhJFvx2VKXPPhgn7NMbvDik2nTtj2X4Wwz3cLjav15gejToq4HBuhK1l",
,"100064642695514","Radio Free Asia","https://www.facebook.com/RFAEnglish","0","2024-01-04T07:43:04",,"Taiwan spots Chinese balloons in its airspace","793431726154910","6","1704354184","post","https://www.facebook.com/RFAEnglish/posts/pfbid029YRRBwL9RYZmFKZxPhSZkwud2nwGH8gnPErJvA6bHdyX3zsQ3F1uCvkJqsoi1nJCl",
,"100059283082154","Bloomberg","https://www.facebook.com/bloombergbusiness","0","2023-12-18T03:54:02",,"Taiwan said two Chinese weather balloons crossed a line in the strait that the US drew decades ago to help ease tensions between the two sides.","783732063612889","10","1702871642","post","https://www.facebook.com/bloombergbusiness/posts/pfbid0ED3bFNTqMX8vCsPuqbzxkNPKREByBQ2NegFyt2mhsas4RiabzrZ2QdPLnRn7Hk4Fl",
,"100069028928005","INQUIRER.net","https://www.facebook.com/inquirerdotnet","0","2024-01-07T02:45:07",,"Taiwan’s defense ministry accused China on Saturday of threatening aviation safety and waging psychological warfare on the island’s people with a recent spate of balloons spotted near or over the island, days before key Taiwanese elections.","773695604941397","13","1704595507","post","https://www.facebook.com/inquirerdotnet/posts/pfbid02izYDH6ZJ4xzwSHNWVRBjhcTEpbENFrNToBvH3tfpcExUYqS7vduuFd9mKSvu4tjdl",
,"100059460163041","New York Post","https://www.facebook.com/NYPost","0","2023-02-15T11:06:54",,"The Chinese balloon we shot down Feb. 4 lingered over Malmstrom Air Force Base, the site of approximately a third of America’s land-based intercontinental ballistic missiles.","609079244417409","41","1676459214","post","https://www.facebook.com/NYPost/posts/pfbid08cFhMQEzYbKz5nRnCJzdnmguCADCbcEDLocqqma5kVgFutVdBPTj6znjgDJ8i88Ul",
,"100059283082154","Bloomberg","https://www.facebook.com/bloombergbusiness","0","2024-01-03T04:39:33",,"A flurry of Chinese weather balloons crossed Taiwan for the first time since the island began releasing such data, as tensions with Beijing flare ahead of the self-ruled democracy’s presidential election this month.","792779029374859","8","1704256773","post","https://www.facebook.com/bloombergbusiness/posts/pfbid02fLnE288HxeY5pP7ThXoLnayFu2xqzTfKoiQtMAwFkvDzyrM2ENHmPDvFV2g55dWDl",
