"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"130";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"131";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"132";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"133";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"134";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"135";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"136";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"137";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"138";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"139";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"140";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"141";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"142";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"143";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"144";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"145";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"146";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"147";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"148";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"149";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"150";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"151";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"152";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"153";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"154";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"155";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"156";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"157";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"158";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"159";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"160";0;0;0;5;5;5;5;5;5;5;5;5;5;5
"161";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"162";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"163";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"164";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"165";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"166";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"167";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"168";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"169";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"170";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"171";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"172";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"173";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"174";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"175";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"176";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"177";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"178";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"179";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"180";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"181";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"182";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"183";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"184";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"185";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"186";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"187";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"188";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"189";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"190";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"191";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"192";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"193";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"194";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"195";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"196";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"197";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"198";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"199";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"200";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"201";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"202";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"203";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"204";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"205";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"206";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"207";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"208";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"209";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"210";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"211";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"212";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"213";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"214";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"215";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"216";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"217";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"218";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"219";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"220";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"221";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"222";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"223";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"224";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"225";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"226";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"227";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"228";0;0;0;0;0;0;0;0;0;0;4;4;4;4
